089674782001472;089674782001472;21-000-90011;1339,8
089674782001472;089674782001472;21-000-90012;1261,89
089674782001472;089674782001472;21-000-90014;880,45
089674782001472;089674782001472;21-000-90015;894,77
089674782001472;089674782001472;21-100-00115;425,75
089674782001472;089674782001472;21-100-00116;97,23
089674782001472;089674782001472;21-100-00118;185,05
089674782001472;089674782001472;21-100-00119;422,2
089674782001472;089674782001472;21-100-00120;170,04
089674782001472;089674782001472;21-100-00121;220,99
089674782001472;089674782001472;21-100-00122;409,02
089674782001472;089674782001472;21-100-00123;182,5
089674782001472;089674782001472;21-100-00124;453,19
089674782001472;089674782001472;21-100-00125;452,25
089674782001472;089674782001472;21-100-00126;315,32
089674782001472;089674782001472;21-100-00127;315,32
089674782001472;089674782001472;21-100-00130;69,7
089674782001472;089674782001472;21-100-00131;69,7
089674782001472;089674782001472;21-100-00134;703,42
089674782001472;089674782001472;21-100-00135;39,26
089674782001472;089674782001472;21-100-00138;719,89
089674782001472;089674782001472;21-110-03033;316,93
089674782001472;089674782001472;21-110-03034;262,61
089674782001472;089674782001472;21-110-03035;117,11
089674782001472;089674782001472;21-110-03036;307,89
089674782001472;089674782001472;21-110-03046;65,26
089674782001472;089674782001472;21-110-03047;83,36
089674782001472;089674782001472;21-110-03048;65,26
089674782001472;089674782001472;21-110-03049;252,22
089674782001472;089674782001472;21-110-03050;252,22
089674782001472;089674782001472;21-110-03053;21,74
089674782001472;089674782001472;21-110-03055;54,22
089674782001472;089674782001472;21-110-03056;56,65
089674782001472;089674782001472;21-110-03058;57,52
089674782001472;089674782001472;21-110-90141;67,94
089674782001472;089674782001472;21-110-90142;67,94
089674782001472;089674782001472;21-110-90145;75,64
089674782001472;089674782001472;21-110-90163;670,86
089674782001472;089674782001472;21-110-90168;152,56
089674782001472;089674782001472;21-110-90173;453,63
089674782001472;089674782001472;21-110-90175;161,34
089674782001472;089674782001472;21-110-90176;161,33
089674782001472;089674782001472;21-110-90178;177,64
089674782001472;089674782001472;21-110-90179;177,25
089674782001472;089674782001472;21-110-90180;49,68
089674782001472;089674782001472;21-110-90181;111,27
089674782001472;089674782001472;21-110-90182;111,11
089674782001472;089674782001472;21-110-90183;168,85
089674782001472;089674782001472;21-110-90184;866,66
089674782001472;089674782001472;21-110-90185;241,03
089674782001472;089674782001472;21-110-90186;83,36
089674782001472;089674782001472;21-110-90187;241,03
089674782001472;089674782001472;21-110-90188;248,35
089674782001472;089674782001472;21-110-90191;248,35
089674782001472;089674782001472;21-110-90192;285,88
089674782001472;089674782001472;21-110-90194;215,6
089674782001472;089674782001472;21-110-90195;285,88
089674782001472;089674782001472;21-110-90196;215,63
089674782001472;089674782001472;21-110-90202;69,31
089674782001472;089674782001472;21-110-90203;470,16
089674782001472;089674782001472;21-110-90204;1086,71
089674782001472;089674782001472;21-110-90218;40,99
089674782001472;089674782001472;21-110-90246;69,12
089674782001472;089674782001472;21-110-90265;118,66
089674782001472;089674782001472;21-110-90266;109,17
089674782001472;089674782001472;21-110-90282;41,98
089674782001472;089674782001472;21-110-90284;466,05
089674782001472;089674782001472;21-110-90286;706,01
089674782001472;089674782001472;21-110-90287;239
089674782001472;089674782001472;21-110-90288;48,05
089674782001472;089674782001472;21-110-90292;460,4
089674782001472;089674782001472;21-220-00515;22,5
089674782001472;089674782001472;21-220-00516;23,56
089674782001472;089674782001472;21-220-00517;23,01
089674782001472;089674782001472;21-220-00518;188,3
089674782001472;089674782001472;21-220-00519;188,59
089674782001472;089674782001472;21-220-00522;40,34
089674782001472;089674782001472;21-220-00523;53,3
089674782001472;089674782001472;21-220-00524;40,62
089674782001472;089674782001472;21-220-90004;132,35
089674782001472;089674782001472;21-220-90005;129,3
089674782001472;089674782001472;21-220-90006;77,53
089674782001472;089674782001472;21-220-90007;95,4
089674782001472;089674782001472;21-220-90008;49,57
089674782001472;089674782001472;21-220-90011;408,22
089674782001472;089674782001472;21-220-90012;98,08
089674782001472;089674782001472;21-220-90033;9,25
089674782001472;089674782001472;21-220-90035;60,91
089674782001472;089674782001472;21-220-90036;38,11
089674782001472;089674782001472;21-220-90048;189,61
089674782001472;089674782001472;21-220-90049;237,35
089674782001472;089674782001472;90-000-00028;3117,94
089674782001472;089674782001472;90-000-00029;1614,04
089674782001472;089674782001472;90-000-00030;1512
089674782001472;089674782001472;90-000-00034;1956,18
089674782001472;089674782001472;90-000-00035;2319,37
089674782001472;089674782001472;90-000-00038;2516,76
089674782001472;089674782001472;90-000-00060;2124,09
089674782001472;089674782001472;90-000-00062;2650,57
089674782001472;089674782001472;90-000-00063;1688,61
089674782001472;089674782001472;90-000-00064;760,47
